,Cities,Country,Date,Cloudiness,Humidity,Latitude,Longtitude,Max Temperature,Windspeed
375,Muli,MV,1598385508,100,75,2.92,73.57,83.61,14.56
376,Sweetwater,US,1598385508,75,62,25.76,-80.37,91.4,14.99
377,Camopi,GF,1598385508,40,49,3.17,-52.32,90.19,2.64
378,Atagay,RU,1598385508,74,90,55.1,99.39,49.68,3.24
379,Arrondissement d'Issoudun,FR,1598385508,75,73,47.0,1.83,73.4,20.8
380,Chakwal,PK,1598385508,40,94,32.93,72.86,80.6,5.82
381,Ariquemes,BR,1598385508,42,17,-9.91,-63.04,101.32,2.89
382,Laizhou,CN,1598385509,100,89,37.18,119.93,70.2,4.83
383,Lábrea,BR,1598385509,78,19,-7.26,-64.8,102.18,0.96
384,Atar,MR,1598385509,100,30,20.52,-13.05,96.98,11.52
385,Yangi Marg`ilon,UZ,1598385509,30,53,40.43,71.72,73.4,4.7
386,Jumla,NP,1598385509,100,68,29.27,82.18,64.13,2.46
387,Chubbuck,US,1598385509,1,25,42.92,-112.47,86.0,12.75
388,Mookane,BW,1598385509,0,25,-23.69,26.66,67.69,6.64
389,Quatre Cocos,MU,1598385509,40,83,-20.21,57.76,71.01,11.41
390,Orange Cove,US,1598385363,1,49,36.62,-119.31,91.99,5.82
391,Teruel,ES,1598385510,0,65,40.67,-0.67,78.8,12.75
392,Raudeberg,NO,1598385510,3,92,61.99,5.14,48.99,4.7
393,Santarém,BR,1598385510,75,70,-2.44,-54.71,86.0,6.93
394,Ixtapa,MX,1598385510,40,79,20.7,-105.2,88.0,10.29
395,Riyadh,SA,1598385253,36,16,24.69,46.72,96.8,5.82
396,Mackay,AU,1598385510,34,93,-21.15,149.2,54.0,6.93
397,Sovetskiy,RU,1598385510,100,98,61.36,63.58,52.66,3.71
398,Pļaviņas,LV,1598385511,73,97,56.62,25.73,54.07,4.61
399,Cangzhou,CN,1598385411,100,81,38.32,116.87,73.89,0.89
400,Nurota,UZ,1598385511,100,46,40.56,65.69,73.4,6.93
401,Puerto Escondido,MX,1598385511,90,73,15.85,-97.07,75.2,6.93
402,Ossora,RU,1598385511,0,66,59.24,163.07,46.18,6.44
403,Karratha,AU,1598385423,0,33,-20.74,116.85,74.44,7.11
404,Moba,CN,1598385511,0,90,33.23,105.02,55.92,2.3
405,Masty,BY,1598385511,0,91,53.41,24.54,55.85,7.36
406,Port Lincoln,AU,1598385511,5,71,-34.73,135.87,52.07,11.01
407,São João da Barra,BR,1598385511,0,46,-21.64,-41.05,73.4,20.8
408,Port Hedland,AU,1598385511,90,100,-20.32,118.57,62.6,4.7
409,Narsaq,GL,1598385512,20,50,60.92,-46.05,55.4,10.29
410,Deputatsky,RU,1598385512,24,99,69.3,139.9,26.11,2.39
411,Bahía Honda,CU,1598385512,72,72,22.9,-83.16,86.88,12.12
412,São Gabriel da Cachoeira,BR,1598385512,40,74,-0.13,-67.09,82.4,3.36
413,Necochea,AR,1598385512,100,1,-38.55,-58.74,60.01,7.0
414,Chara,RU,1598385512,35,75,56.91,118.26,42.91,1.5
415,Buala,SB,1598385512,51,78,-8.14,159.59,80.82,6.26
416,Sabang,ID,1598385512,32,75,5.89,95.32,82.89,0.81
417,Siniscola,IT,1598385512,1,39,40.57,9.69,80.6,11.41
418,Dunedin,NZ,1598385451,0,78,-45.87,170.5,42.01,1.99
419,Melito di Porto Salvo,IT,1598385513,20,65,37.92,15.77,79.0,9.17
420,Puerto Nariño,CO,1598385513,40,55,-3.77,-70.38,89.6,3.36
421,Burns Lake,CA,1598385513,80,43,54.23,-125.75,62.69,5.53
422,Lucapa,AO,1598385513,0,47,-8.42,20.74,75.25,4.09
423,Kalabo,ZM,1598385513,1,24,-14.97,22.68,68.49,3.74
424,Vallenar,CL,1598385513,8,40,-28.57,-70.76,61.83,11.83
425,Zeya,RU,1598385466,100,93,53.75,127.27,54.66,0.67
426,Chernyshevskiy,RU,1598385513,11,82,63.01,112.47,39.47,2.57
427,Baykit,RU,1598385513,99,71,61.67,96.37,53.85,3.53
428,Jacareacanga,BR,1598385513,20,47,-6.22,-57.75,95.0,5.82
429,Poum,NC,1598385513,57,79,-20.23,164.02,70.45,8.05
430,Gamboula,CF,1598385514,100,96,4.12,15.14,69.75,0.74
431,Severo-Kuril'sk,RU,1598385514,100,93,50.68,156.12,53.2,16.84
432,Sibolga,ID,1598385514,70,83,1.74,98.78,75.36,3.56
433,La Plaine,DM,1598385514,20,66,15.33,-61.25,87.8,8.05
434,Port Keats,AU,1598385514,0,32,-14.25,129.55,69.91,10.94
435,Oshkosh,US,1598385247,90,88,44.02,-88.54,75.2,3.36
436,Damaturu,NG,1598385514,100,80,11.75,11.96,75.65,5.86
437,Jiayuguan City,CN,1598385514,0,23,39.82,98.3,70.7,3.27
438,Lālganj,IN,1598385514,75,79,25.87,85.18,84.2,3.36
439,Waingapu,ID,1598385514,6,80,-9.66,120.26,72.7,11.81
440,Namatanai,PG,1598385515,3,83,-3.67,152.43,77.76,6.64
441,Nara,JP,1598385456,45,46,34.69,135.8,82.0,4.12
442,Half Moon Bay,US,1598385515,40,77,37.46,-122.43,73.99,5.82
443,Nobres,BR,1598385515,85,20,-14.72,-56.33,98.76,4.14
444,Mareeba,AU,1598385515,63,68,-17.0,145.43,69.8,14.99
445,Kiunga,PG,1598385515,97,98,-6.12,141.29,71.47,1.48
446,Bilibino,RU,1598385515,100,88,68.05,166.44,40.86,3.2
447,Merauke,ID,1598385515,94,83,-8.47,140.33,76.66,14.83
448,Isangel,VU,1598385515,100,94,-19.55,169.27,71.6,2.24
449,Zalegoshch',RU,1598385515,77,63,52.9,36.89,64.81,8.12
450,Puerto Baquerizo Moreno,EC,1598385516,75,73,-0.9,-89.6,71.6,19.46
451,Verkhneyarkeyevo,RU,1598385415,69,95,55.45,54.31,58.69,7.47
452,Santiago,CL,1598385354,75,44,-33.46,-70.65,59.0,4.7
453,Clarence Town,AU,1598385516,1,86,-32.58,151.78,41.0,9.17
454,Makkah al Mukarramah,SA,1598385516,100,25,21.43,39.83,93.18,7.09
455,Padang,ID,1598385516,100,74,-0.95,100.35,77.77,4.54
456,Eloy,US,1598385516,1,20,32.76,-111.55,108.0,6.33
457,Muzambinho,BR,1598385516,7,38,-21.38,-46.53,68.34,5.3
458,West Bay,KY,1598385516,20,70,19.37,-81.42,89.6,14.99
459,Henties Bay,NA,1598385516,2,79,-22.12,14.28,55.99,1.01
460,Zhigansk,RU,1598385517,0,67,66.77,123.37,41.04,7.09
461,Ostuni,IT,1598385517,0,74,40.73,17.58,81.0,12.75
462,Cayenne,GF,1598385517,4,55,4.93,-52.33,89.6,3.36
463,North Myrtle Beach,US,1598385517,1,79,33.82,-78.68,88.0,3.36
464,Ballina,AU,1598385517,75,87,-28.87,153.57,53.6,6.93
465,Kawerau,NZ,1598385517,0,97,-38.1,176.7,44.01,3.89
466,Mezen',RU,1598385517,0,82,65.85,44.24,49.03,7.7
467,Sekoma,BW,1598385517,0,27,-24.4,23.88,64.35,6.17
468,Maniitsoq,GL,1598385518,20,79,65.42,-52.9,47.48,9.71
469,Kavaratti,IN,1598385518,100,73,10.57,72.64,81.32,10.2
470,San Francisco,US,1598385449,75,64,37.77,-122.42,71.6,9.17
471,Bestöbe,KZ,1598385518,19,71,52.5,73.1,57.96,10.09
472,Kieta,PG,1598385518,8,76,-6.22,155.63,78.08,4.38
473,Chumikan,RU,1598385518,100,94,54.72,135.31,52.0,3.31
474,Matara,LK,1598385518,100,87,5.95,80.54,78.64,5.14
475,Winnemucca,US,1598385518,20,34,40.97,-117.74,82.4,4.7
476,Darhan,MN,1598385518,100,83,49.49,105.92,53.51,1.14
477,Santiago del Estero,AR,1598385518,0,25,-27.8,-64.26,93.34,2.95
478,Lapuan,PH,1598385518,16,74,6.14,125.7,81.23,6.76
479,Taganak,PH,1598385518,20,88,6.08,118.3,78.8,11.41
480,Kloulklubed,PW,1598385519,100,68,7.04,134.26,84.07,10.25
481,Paranapanema,BR,1598385519,0,58,-23.39,-48.72,68.23,11.88
482,Tuzha,RU,1598385519,100,86,57.61,47.94,58.5,4.25
483,Xai-Xai,MZ,1598385519,0,56,-25.05,33.64,74.3,14.97
484,Na Wa,TH,1598385519,100,88,17.49,104.1,78.31,4.72
485,San Quintín,MX,1598385519,10,70,30.48,-115.95,78.44,15.88
486,Araouane,ML,1598385519,53,31,18.9,-3.53,97.66,10.29
487,Arua,UG,1598385519,82,91,3.02,30.91,64.49,2.33
488,Vasterhaninge,SE,1598385519,0,51,59.12,18.1,59.0,5.82
489,Tual,ID,1598385519,38,77,-5.67,132.75,78.51,23.64
490,Camaná,PE,1598385520,92,77,-16.62,-72.71,62.73,10.07
491,Butte,US,1598385520,1,48,39.65,-121.57,87.01,3.36
492,Gemeente Nijmegen,NL,1598385520,75,72,51.83,5.85,68.0,8.05
493,Olivenza,ES,1598385520,0,24,38.68,-7.1,91.4,8.05
494,San Carlos,VE,1598385520,84,84,9.66,-68.58,81.97,3.22
495,Rocha,UY,1598385520,100,76,-34.48,-54.33,64.8,12.06
496,Gladstone,AU,1598385520,0,71,-23.85,151.25,50.0,5.82
497,Cururupu,BR,1598385520,8,68,-1.83,-44.87,82.13,5.97
498,Kysyl-Syr,RU,1598385520,0,76,63.9,122.76,37.11,1.79
499,Cleburne,US,1598385521,20,34,32.35,-97.39,97.0,13.87
500,Hobyo,SO,1598385521,93,83,5.35,48.53,76.96,24.52
501,Goderich,CA,1598385521,0,58,43.75,-81.72,78.01,25.01
502,Griffith,US,1598385521,40,54,41.53,-87.42,84.2,13.87
503,Tiarei,PF,1598385521,20,69,-17.53,-149.33,80.6,3.36
504,Wilmington,US,1598385376,40,62,34.23,-77.94,88.0,12.75
505,Tautira,PF,1598385521,20,69,-17.73,-149.15,80.6,3.36
506,Bonavista,CA,1598385521,52,80,48.65,-53.11,60.01,4.0
507,Zakamensk,RU,1598385521,98,81,50.37,103.29,48.13,2.33
508,Rundu,NA,1598385521,0,26,-17.93,19.77,65.46,3.56
509,Buerarema,BR,1598385521,20,65,-14.96,-39.3,77.0,12.75
510,Silifke,TR,1598385521,0,60,36.38,33.93,77.77,5.79
511,Yatou,CN,1598385522,100,95,37.15,122.38,73.96,5.39
512,Nong Khai,TH,1598385522,100,87,17.88,102.74,77.41,5.19
513,Iquique,CL,1598385294,3,68,-20.22,-70.14,64.4,18.34
514,Cochrane,CA,1598385522,1,42,51.18,-114.47,68.0,8.05
515,Severomuysk,RU,1598385522,0,90,56.15,113.43,40.62,3.4
516,Madisonville,US,1598385522,1,46,37.33,-87.5,91.0,5.82
517,Hualmay,PE,1598385522,6,67,-11.1,-77.61,66.76,11.95
518,Pandan,PH,1598385522,75,84,14.05,124.17,80.6,4.23
519,Serro,BR,1598385522,6,49,-18.6,-43.38,65.64,5.1
520,Muş Province,TR,1598385522,0,27,39.0,41.75,65.44,6.02
521,Acarí,PE,1598385522,72,58,-15.43,-74.62,69.03,9.51
522,Prado,BR,1598385523,0,65,-17.34,-39.22,70.61,13.53
523,Laas,IT,1598385523,20,60,46.62,10.7,73.4,4.7
524,Pombia,IT,1598385523,0,64,45.65,8.63,73.4,2.24
525,Uturoa,PF,1598385523,25,80,-16.73,-151.43,76.57,20.51
526,Passo de Camaragibe,BR,1598385523,90,94,-9.24,-35.49,71.6,5.82
527,Belozërskoye,RU,1598385523,85,92,55.82,65.58,58.98,11.21
528,Rincón de la Victoria,ES,1598385523,0,78,36.72,-4.28,78.01,6.93
529,Carbonia,IT,1598385523,0,61,39.17,8.52,79.0,11.41
530,Srīvardhan,IN,1598385523,38,87,18.03,73.02,79.3,5.53
531,Rock Sound,BS,1598385523,1,77,24.9,-76.2,83.71,14.65
532,Daru,PG,1598385524,99,88,-9.08,143.21,76.62,17.76
533,Kyrksæterøra,NO,1598385524,75,87,63.29,9.09,51.8,17.22
534,Charlestown,AU,1598385524,0,85,-32.95,151.67,45.0,5.08
535,Santa Maria,BR,1598385356,100,48,-29.68,-53.81,82.4,9.17
536,Sakakah,SA,1598385524,0,12,29.97,40.21,95.0,4.7
537,Lakhdenpokh'ya,RU,1598385524,100,91,61.52,30.2,57.99,4.79
538,Olinda,BR,1598385249,20,69,-8.01,-34.86,78.8,17.22
539,Laguna,US,1598385524,1,42,38.42,-121.42,87.01,6.93
540,Gamba,GA,1598385524,20,85,-2.65,10.0,74.75,7.38
541,Mount Isa,AU,1598385525,0,30,-20.73,139.5,55.4,4.7
542,Sisimiut,GL,1598385525,21,73,66.94,-53.67,48.92,7.09
543,Sulingen,DE,1598385525,40,93,52.68,8.8,64.0,12.75
544,Brandon,US,1598385525,40,59,27.94,-82.29,97.0,9.17
545,Huarmey,PE,1598385525,26,66,-10.07,-78.15,67.39,12.39
546,Pueblo Nuevo,MX,1598385525,51,50,23.38,-105.38,77.79,1.61
547,Minna,NG,1598385525,15,83,9.61,6.56,80.6,2.24
548,Voka,EE,1598385525,100,91,59.4,27.58,57.52,4.99
549,Khandyga,RU,1598385525,0,95,62.67,135.6,35.38,4.07
550,Bud,US,1598385525,12,64,39.45,-86.18,91.99,8.19
551,Brownsville,US,1598385525,75,56,25.9,-97.5,93.2,14.99
552,Tikhvin,RU,1598385526,100,91,59.65,33.53,54.0,4.34
553,Pochutla,MX,1598385526,90,69,15.74,-96.47,75.2,6.93
554,Carnot,CF,1598385526,100,91,4.94,15.87,70.66,1.05
555,Lahat,ID,1598385526,98,73,-3.8,103.53,70.75,3.06
556,Kropotkin,RU,1598385526,0,35,45.44,40.58,67.82,11.72
557,Ust'-Koksa,RU,1598385526,100,83,50.27,85.61,49.5,3.36
558,Marsh Harbour,BS,1598385526,0,75,26.54,-77.06,85.03,15.41
559,Pestovo,RU,1598385526,100,95,58.59,35.8,56.5,4.81
560,Fairbanks,US,1598385526,90,93,64.84,-147.72,55.0,1.52
561,Avera,US,1598385526,75,84,33.19,-82.53,86.0,6.93
562,Woodward,US,1598385526,1,26,36.43,-99.39,93.2,10.29
563,Barma,SL,1598385527,100,93,8.35,-11.33,72.68,2.17
564,Oriximiná,BR,1598385527,66,39,-1.77,-55.87,94.75,3.87
565,Hakkâri Province,TR,1598385527,0,45,37.58,44.17,55.4,4.92
566,Naze,JP,1598385527,90,83,28.37,129.48,84.2,12.75
567,Haverfordwest,GB,1598385527,25,82,51.8,-4.97,62.6,41.38
568,Sarakhs,IR,1598385527,43,38,36.54,61.16,77.0,4.7
569,Quang Ngai,VN,1598385527,98,75,15.12,108.8,80.19,4.65
570,Chern',RU,1598385527,88,89,53.45,36.91,62.67,7.83
571,Saint-Paul,RE,1598385527,23,60,-21.01,55.27,68.0,13.87
572,Baião,BR,1598385527,82,46,-2.79,-49.67,90.52,0.47
573,Ulenje,TZ,1598385528,31,79,-8.93,33.68,55.78,3.65
574,Arandis,NA,1598385528,0,79,-22.42,14.97,55.99,1.01
575,Bubaque,GW,1598385528,100,78,11.28,-15.83,81.36,11.52
576,Sioux Lookout,CA,1598385528,75,72,50.1,-91.92,68.0,9.17
577,Rayachoti,IN,1598385528,100,66,14.05,78.75,80.91,1.3
